movie_name_script_slug_conventioned,movie_name_imsdb_conventioned,_merge_imsdb_scriptslug,movie_name_conventioned,movie_name_dailyscripts_conventioned,_merge_main_dailyscripts
,Austin Powers The Spy Who Shagged Me,right_only,Austin Powers The Spy Who Shagged Me,,left_only
,Authors Anonymous,right_only,Authors Anonymous,,left_only
,Autumn In New York,right_only,Autumn In New York,Autumn In New York,both
Avatar,Avatar,both,Avatar,,left_only
Avengers Endgame,Avengers Endgame,both,Avengers Endgame,,left_only
Avp Alien Vs Predator,,left_only,Avp Alien Vs Predator,,left_only
,Avventura L (the Adventure),right_only,Avventura L (the Adventure),,left_only
,Awakenings,right_only,Awakenings,Awakenings,both
,Babel,right_only,Babel,Babel,both
Baby Boy,,left_only,Baby Boy,,left_only
Baby Driver,,left_only,Baby Driver,,left_only
Babylon,,left_only,Babylon,,left_only
,Bachelor Party,right_only,Bachelor Party,Bachelor Party,both
Back To The Future,Back To The Future,both,Back To The Future,,left_only
,Back To The Future 2 & 3,right_only,Back To The Future 2 & 3,,left_only
,Backdraft,right_only,Backdraft,Backdraft,both
Bad Boys,Bad Boys,both,Bad Boys,Bad Boys,both
Bad Boys For Life,,left_only,Bad Boys For Life,,left_only
,Bad Country,right_only,Bad Country,,left_only
,Bad Day At Black Rock,right_only,Bad Day At Black Rock,Bad Day At Black Rock,both
,Bad Dreams,right_only,Bad Dreams,,left_only
Bad Lieutenant,Bad Lieutenant,both,Bad Lieutenant,Bad Lieutenant,both
Bad Moms,,left_only,Bad Moms,,left_only
Bad Moon,,left_only,Bad Moon,,left_only
Bad Santa,Bad Santa,both,Bad Santa,Bad Santa,both
Bad Teacher,Bad Teacher,both,Bad Teacher,,left_only
Bad Times At The El Royale,,left_only,Bad Times At The El Royale,,left_only
Badlands,Badlands,both,Badlands,Badlands,both
,Bamboozled,right_only,Bamboozled,,left_only
Barb And Star Go To Vista Del Mar,,left_only,Barb And Star Go To Vista Del Mar,,left_only
Barbarian,,left_only,Barbarian,,left_only
Barbershop,,left_only,Barbershop,,left_only
Barbie,Barbie,both,Barbie,,left_only
,Barry Lyndon,right_only,Barry Lyndon,Barry Lyndon,both
Barton Fink,Barton Fink,both,Barton Fink,Barton Fink,both
,Basic,right_only,Basic,Basic,both
Basic Instinct,Basic Instinct,both,Basic Instinct,Basic Instinct,both
Basic Instinct 2,,left_only,Basic Instinct 2,,left_only
Basket Case,,left_only,Basket Case,,left_only
,Basquiat,right_only,Basquiat,,left_only
Batman,Batman,both,Batman,Batman,both
Batman & Robin,,left_only,Batman & Robin,,left_only
,Batman 2,right_only,Batman 2,,left_only
,,,,Batman 2 (unproduced),right_only
,Batman And Robin,right_only,Batman And Robin,,left_only
Batman Begins,Batman Begins,both,Batman Begins,Batman Begins,both
Batman Forever,Batman Forever,both,Batman Forever,Batman Forever,both
Batman Mask Of The Phantasm,,left_only,Batman Mask Of The Phantasm,,left_only
Batman Returns,Batman Returns,both,Batman Returns,Batman Returns,both
,Battle Los Angeles,right_only,Battle Los Angeles,,left_only
Battle Of The Sexes,,left_only,Battle Of The Sexes,,left_only
Battlefield Earth,,left_only,Battlefield Earth,,left_only
Baywatch,,left_only,Baywatch,,left_only
Bean,Bean,both,Bean,,left_only
,Beasts Of No Nation,right_only,Beasts Of No Nation,,left_only
,Beasts Of The Southern Wild,right_only,Beasts Of The Southern Wild,,left_only
Beau Is Afraid,,left_only,Beau Is Afraid,,left_only
Beautiful Boy,,left_only,Beautiful Boy,,left_only
,,,,Beautiful Girls,right_only
Beauty And The Beast,Beauty And The Beast,both,Beauty And The Beast,,left_only
,,,,Beauty Shop,right_only
,Beavis And Butt Head Do America,right_only,Beavis And Butt Head Do America,Beavis And Butt Head Do America,both
,,,,Bedlam,right_only
,,,,Beetle Juice,right_only
Beetlejuice,,left_only,Beetlejuice,,left_only
Before Midnight,,left_only,Before Midnight,,left_only
,,,,Before Sunset,right_only
Beginners,Beginners,both,Beginners,,left_only
,Being Human,right_only,Being Human,Being Human,both
Being John Malkovich,Being John Malkovich,both,Being John Malkovich,Being John Malkovich,both
Being The Ricardos,Being The Ricardos,both,Being The Ricardos,,left_only
Being There,Being There,both,Being There,Being There,both
Belfast,,left_only,Belfast,,left_only
Belle,Belle,both,Belle,Belle,both
,Beloved,right_only,Beloved,Beloved,both
,,,,Below,right_only
,Benny & Joon,right_only,Benny & Joon,,left_only
,,,,Beowulf & Grendal,right_only
Beverly Hills Cop,,left_only,Beverly Hills Cop,,left_only
Big,Big,both,Big,,left_only
,Big Eyes,right_only,Big Eyes,Big Eyes,both
Big Fish,Big Fish,both,Big Fish,,left_only
,,,,Big Fish ,right_only
Big Time Adolescence,,left_only,Big Time Adolescence,,left_only
Big Trouble In Little China,,left_only,Big Trouble In Little China,,left_only
