name,name_conventioned,movie_name,movie_url,movie_url_extension,movie_name_conventioned,_merge,name_error,error,name_conventioned_error
Boogie Nights,Boogie Nights,,,,,left_only,,,
Bookworm,Bookworm,,,,,left_only,,,
Boondock Saints 2: All Saints Day,Boondock Saints 2 All Saints Day,,,,,left_only,,,
Bottle Rocket,Bottle Rocket,Bottle Rocket,https://www.dailyscript.com/scripts/bottlerocket.html,html,Bottle Rocket,both,,,
Bound,Bound,Bound,https://www.dailyscript.com/scripts/Bound_FirstDraft.txt,txt,Bound,both,,,
Boyhood,Boyhood,Boyhood,https://www.dailyscript.com/scripts/Boyhood-screenplay-11-14-FINAL.pdf,pdf,Boyhood,both,,,
Braveheart,Braveheart,Braveheart,https://www.dailyscript.com/scripts/Braveheart.txt,txt,Braveheart,both,,,
Brazil,Brazil,Brazil,https://www.dailyscript.com/scripts/brazil.html,html,Brazil,both,,,
Break,Break,Break,https://www.dailyscript.com/scripts/Break_final.pdf,pdf,Break,both,,,
Breakdown,Breakdown,Breakdown,https://www.dailyscript.com/scripts/Breakdown.PDF,pdf,Breakdown,both,,,
Breaking Away,Breaking Away,,,,,left_only,,,
Brick,Brick,,,,,left_only,,,
Bridesmaids,Bridesmaids,,,,,left_only,,,
Bringing Out the Dead,Bringing Out The Dead,Bringing Out the Dead,https://www.dailyscript.com/scripts/bringing-out-the-dead.html,html,Bringing Out The Dead,both,,,
Bringing Out the Dead,Bringing Out The Dead,Bringing Out The Dead,https://www.dailyscript.com/scripts/Bringing+Out+The+Dead.txt,txt,Bringing Out The Dead,both,,,
Broadcast News,Broadcast News,Broadcast News,https://www.dailyscript.com/scripts/broadc_news.html,html,Broadcast News,both,,,
Broken Arrow,Broken Arrow,,,,,left_only,,,
Broken Embraces,Broken Embraces,,,,,left_only,,,
Bruce Almighty,Bruce Almighty,Bruce Almighty,https://www.dailyscript.com/scripts/Bruce%20Almighty.txt,txt,Bruce Almighty,both,,,
Buffy the Vampire Slayer,Buffy The Vampire Slayer,Buffy the Vampire Slayer,https://www.dailyscript.com/scripts/buffy_the_vampire_slayer.html,html,Buffy The Vampire Slayer,both,,,
Bull Durham,Bull Durham,Bull Durham,https://www.dailyscript.com/scripts/Bull+Durham.txt,txt,Bull Durham,both,,,
Buried,Buried,,,,,left_only,,,
Burlesque,Burlesque,,,,,left_only,,,
Burn After Reading,Burn After Reading,,,,,left_only,,,
Burning Annie,Burning Annie,,,,,left_only,,,
Cable Guy,Cable Guy,,,,,left_only,,,
Candle to Water,Candle To Water,,,,,left_only,,,
Capote,Capote,Capote,https://www.dailyscript.com/scripts/Capote.pdf,pdf,Capote,both,,,
Carrie,Carrie,,,,,left_only,,,
Cars 2,Cars 2,,,,,left_only,,,
Casablanca,Casablanca,Casablanca,https://www.dailyscript.com/scripts/casablanca.pdf,pdf,Casablanca,both,Casablanca,"Webstatus : 404
",Casablanca
Case 39,Case 39,,,,,left_only,,,
Casino,Casino,Casino,https://www.dailyscript.com/scripts/casino.html,html,Casino,both,,,
Cassandro,Cassandro,,,,,left_only,,,
Cast Away,Cast Away,Cast Away,https://www.dailyscript.com/scripts/CastAway.txt,txt,Cast Away,both,,,
Catch Me If You Can,Catch Me If You Can,,,,,left_only,,,
Catwoman,Catwoman,Catwoman,https://www.dailyscript.com/scripts/catwoman.pdf,pdf,Catwoman,both,,,
Cecil B. Demented,Cecil B Demented,,,,,left_only,,,
Cedar Rapids,Cedar Rapids,,,,,left_only,,,
Celeste & Jesse Forever,Celeste & Jesse Forever,,,,,left_only,Celeste & Jesse Forever,HTML len = 0 : no content scrapped,Celeste & Jesse Forever
Cellular,Cellular,Cellular,https://www.dailyscript.com/scripts/cellular.pdf,pdf,Cellular,both,,,
Changeling,Changeling,Changeling,https://www.dailyscript.com/scripts/Changeling_screenplay.pdf,pdf,Changeling,both,,,
Chaos,Chaos,,,,,left_only,,,
Charade,Charade,Charade,https://www.dailyscript.com/scripts/Charade.txt,txt,Charade,both,,,
Charlie's Angels,Charlies Angels,Charlie's Angels,https://www.dailyscript.com/scripts/Charlies_Angels.pdf,pdf,Charlies Angels,both,,,
Chasing Amy,Chasing Amy,Chasing Amy,https://www.dailyscript.com/scripts/Chasing%20Amy.txt,txt,Chasing Amy,both,,,
Chasing Sleep,Chasing Sleep,Chasing Sleep,https://www.dailyscript.com/scripts/chasing_sleep.html,html,Chasing Sleep,both,,,
Cherry Falls,Cherry Falls,,,,,left_only,,,
Chinatown,Chinatown,Chinatown,https://www.dailyscript.com/scripts/Chinatown.txt,txt,Chinatown,both,,,
Christ Complex,Christ Complex,,,,,left_only,,,
Chronicle,Chronicle,Chronicle,https://www.dailyscript.com/scripts/Chronicle.pdf,pdf,Chronicle,both,,,
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Chronicles Of Narnia The Lion The Witch And The Wardrobe,,,,,left_only,,,
Cinema Paradiso,Cinema Paradiso,Cinema Paradiso,https://www.dailyscript.com/scripts/cinema_paradiso.html,html,Cinema Paradiso,both,,,
Cirque du Freak: The Vampire's Assistant,Cirque Du Freak The Vampires Assistant,,,,,left_only,,,
Citizen Kane,Citizen Kane,Citizen Kane,https://www.dailyscript.com/scripts/Citizen%20Kane.txt,txt,Citizen Kane,both,,,
City of Joy,City Of Joy,City of Joy,https://www.dailyscript.com/scripts/city_of_joy.pdf,pdf,City Of Joy,both,,,
Clash of the Titans,Clash Of The Titans,,,,,left_only,,,
Clerks,Clerks,Clerks,https://www.dailyscript.com/scripts/clerks.html,html,Clerks,both,,,
Cliffhanger,Cliffhanger,Cliffhanger,https://www.dailyscript.com/scripts/cliffhanger_france.html,html,Cliffhanger,both,,,
