name,movie_name,_merge,name_error,error
Good Will Hunting,Good Will Hunting,both,,
Goodfellas,,left_only,Goodfellas,"Webstatus : 404
"
Gothika,Gothika,both,,
Grabbers,,left_only,,
Gran Torino,,left_only,,
Grand Hotel,Grand Hotel,both,,
Grand Theft Parsons,,left_only,,
Gravity,Gravity,both,,
Gremlins,,left_only,,
Gremlins 2,,left_only,,
Grosse Point Blank,,left_only,,
Groundhog Day,Groundhog Day,both,,
Guardians of the Galaxy Vol 2,,left_only,,
Hackers,,left_only,,
Hall Pass,,left_only,,
Halloween,Halloween,both,,
Halloween: The Curse of Michael Myers,,left_only,,
Hancock,,left_only,,
Hanna,,left_only,,
Hannah and Her Sisters,Hannah and Her Sisters,both,,
Hannibal,Hannibal,both,,
"Happy Birthday, Wanda June","Happy Birthday, Wanda June",both,,
Happy Feet,,left_only,,
Hard Rain,Hard Rain,both,,
Hard to Kill,Hard to Kill,both,,
Harold and Kumar Go to White Castle,,left_only,,
Harry Potter and the Chamber of Secrets,,left_only,Harry Potter and the Chamber of Secrets,"Webstatus : 404
"
Harry Potter and the Deathly Hallows Part 1,,left_only,Harry Potter and the Deathly Hallows Part 1,"Webstatus : 404
"
Harry Potter and the Goblet of Fire,,left_only,Harry Potter and the Goblet of Fire,"Webstatus : 404
"
Harry Potter and the Half-Blood Prince,,left_only,Harry Potter and the Half-Blood Prince,"Webstatus : 404
"
Harry Potter and the Prisoner of Azkaban,,left_only,Harry Potter and the Prisoner of Azkaban,"Webstatus : 404
"
Harry Potter and the Sorcerer's Stone,,left_only,Harry Potter and the Sorcerer's Stone,"Webstatus : 404
"
He's Just Not That Into You,He's Just Not That Into You,both,,
Heat,Heat,both,,
Heathers,Heathers,both,,
Heavenly Creatures,,left_only,,
Heavy Metal,Heavy Metal,both,,
Heist,Heist,both,,
Hellbound: Hellraiser II,Hellbound: Hellraiser II,both,,
Hellboy,Hellboy,both,,
Hellboy 2: The Golden Army,,left_only,,
Hellraiser,Hellraiser,both,,
Hellraiser 3: Hell on Earth,,left_only,,
Hellraiser: Deader,,left_only,,
Hellraiser: Hellseeker,,left_only,,
Henry Fool,Henry Fool,both,,
Henry's Crime,,left_only,,
Her,,left_only,,
Here Comes Peter Cottontail,,left_only,,
Hesher,,left_only,,
High Fidelity,High Fidelity,both,,
Highlander,,left_only,,
Highlander: Endgame,,left_only,,
His Girl Friday,His Girl Friday,both,,
Hitchcock,,left_only,,
Hollow Man,,left_only,,
Honeydripper,,left_only,,
Horrible Bosses,,left_only,,
Hostage,Hostage,both,,
Hot Tub Time Machine,,left_only,,
Hotel Rwanda,Hotel Rwanda,both,,
House of 1000 Corpses,,left_only,,
How to Lose Friends & Alienate People,,left_only,How to Lose Friends & Alienate People,HTML len = 0 : no content scrapped
How to Train Your Dragon,,left_only,,
How to Train Your Dragon 2,,left_only,,
Hudson Hawk,Hudson Hawk,both,,
Human Nature,Human Nature,both,,
I Am Number Four,,left_only,,
I Love You Phillip Morris,,left_only,,
I Spit on Your Grave,,left_only,,
I Still Know What You Did Last Summer,,left_only,,
I am Sam,I am Sam,both,,
I'll Do Anything,I'll Do Anything,both,,
"I, Robot","I, Robot",both,,
In the Bedroom,,left_only,,
In the Loop,,left_only,,
Inception,,left_only,,
Independence Day,Independence Day,both,,
Indiana Jones IV,,left_only,,
Indiana Jones and the Last Crusade,,left_only,,
Indiana Jones and the Raiders of the Lost Ark,,left_only,,
Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,both,,
Inglourious Basterds,,left_only,,
Initiation,,left_only,,
Innerspace,Innerspace,both,Innerspace,"Webstatus : 404
"
Insidious,,left_only,,
Insomnia,Insomnia,both,,
Interstellar,,left_only,,
Interview with the Vampire,Interview with the Vampire,both,,
Into the Wild,,left_only,,
Into the Woods,,left_only,,
Intolerable Cruelty,Intolerable Cruelty,both,,
Inventing the Abbotts,Inventing the Abbotts,both,,
Invictus,,left_only,,
It,,left_only,,
It Happened One Night,It Happened One Night,both,,
It Happened One Night,It Happened One Night,both,,
It's Complicated,,left_only,,
It's a Wonderful Life,It's a Wonderful Life,both,,
JFK,JFK,both,,
Jackie Brown,Jackie Brown,both,,
Jacob's Ladder,Jacob's Ladder,both,,
Jade,Jade,both,Jade,HTML len = 0 : no content scrapped
Jane Eyre,Jane Eyre,both,,
Jason X,Jason X,both,,
Jaws,Jaws,both,,
Jaws 2,Jaws 2,both,,
Jay and Silent Bob Strike Back,,left_only,,
