movie_name,script_page_url,pdf_url
American Pie,https://www.scriptslug.com/script/american-pie-1999,https://assets.scriptslug.com/live/pdf/scripts/american-pie-1999.pdf?v=1729114858
The American President,https://www.scriptslug.com/script/the-american-president-1995,https://assets.scriptslug.com/live/pdf/scripts/the-american-president-1995.pdf?v=1729115007
American Psycho,https://www.scriptslug.com/script/american-psycho-2000,https://assets.scriptslug.com/live/pdf/scripts/american-psycho-2000.pdf?v=1729114858
American Sniper,https://www.scriptslug.com/script/american-sniper-2014,https://assets.scriptslug.com/live/pdf/scripts/american-sniper-2014.pdf?v=1729114859
American Ultra,https://www.scriptslug.com/script/american-ultra-2015,https://assets.scriptslug.com/live/pdf/scripts/american-ultra-2015.pdf?v=1729114859
Amistad,https://www.scriptslug.com/script/amistad-1997,https://assets.scriptslug.com/live/pdf/scripts/amistad-1997.pdf?v=1729114859
The Amityville Horror,https://www.scriptslug.com/script/the-amityville-horror-1979,https://assets.scriptslug.com/live/pdf/scripts/the-amityville-horror-1979.pdf?v=1729115007
Amélie,https://www.scriptslug.com/script/amelie-2001,https://assets.scriptslug.com/live/pdf/scripts/amelie-2001.pdf?v=1729114858
Amour,https://www.scriptslug.com/script/amour-2012,https://assets.scriptslug.com/live/pdf/scripts/amour-2012.pdf?v=1729114859
Amsterdam,https://www.scriptslug.com/script/amsterdam-2022,https://assets.scriptslug.com/live/pdf/scripts/amsterdam-2022.pdf?v=1729114859
An Affair to Remember,https://www.scriptslug.com/script/an-affair-to-remember-1957,https://assets.scriptslug.com/live/pdf/scripts/an-affair-to-remember-1957.pdf?v=1729114859
An American Werewolf in London,https://www.scriptslug.com/script/an-american-werewolf-in-london-1981,https://assets.scriptslug.com/live/pdf/scripts/an-american-werewolf-in-london-1981.pdf?v=1729114859
An Unmarried Woman,https://www.scriptslug.com/script/an-unmarried-woman-1978,https://assets.scriptslug.com/live/pdf/scripts/an-unmarried-woman-1978.pdf?v=1729114859
Anaconda,https://www.scriptslug.com/script/anaconda-1997,https://assets.scriptslug.com/live/pdf/scripts/anaconda-1997.pdf?v=1729114859
Analyze That,https://www.scriptslug.com/script/analyze-that-2002,https://assets.scriptslug.com/live/pdf/scripts/analyze-that-2002.pdf?v=1729114860
Analyze This,https://www.scriptslug.com/script/analyze-this-1999,https://assets.scriptslug.com/live/pdf/scripts/analyze-this-1999.pdf?v=1729114860
Anastasia,https://www.scriptslug.com/script/anastasia-1997,https://assets.scriptslug.com/live/pdf/scripts/anastasia-1997.pdf?v=1729114860
Anatomy of a Fall,https://www.scriptslug.com/script/anatomy-of-a-fall-2023,https://assets.scriptslug.com/live/pdf/scripts/anatomy-of-a-fall-2023.pdf?v=1729114860
Anatomy of a Murder,https://www.scriptslug.com/script/anatomy-of-a-murder-1959,https://assets.scriptslug.com/live/pdf/scripts/anatomy-of-a-murder-1959.pdf?v=1729114860
"Anchorman
The Legend of Ron Burgundy",https://www.scriptslug.com/script/anchorman-the-legend-of-ron-burgundy-2004,https://assets.scriptslug.com/live/pdf/scripts/anchorman-the-legend-of-ron-burgundy-2004.pdf?v=1729114860
Angel Eyes,https://www.scriptslug.com/script/angel-eyes-2001,https://assets.scriptslug.com/live/pdf/scripts/angel-eyes-2001.pdf?v=1729114860
Angels with Dirty Faces,https://www.scriptslug.com/script/angels-with-dirty-faces-1938,https://assets.scriptslug.com/live/pdf/scripts/angels-with-dirty-faces-1938.pdf?v=1729114860
Anger Management,https://www.scriptslug.com/script/anger-management-2003,https://assets.scriptslug.com/live/pdf/scripts/anger-management-2003.pdf?v=1729114860
