movie_name_conventioned,scrapping_url,scrapping_url_extension
Baby Driver,https://assets.scriptslug.com/live/pdf/scripts/baby-driver-2017.pdf?v=1729114864,pdf
Babylon,https://assets.scriptslug.com/live/pdf/scripts/babylon-2022_2023-03-24-175719_unck.pdf?v=1729114865,pdf
Bachelor Party,https://imsdb.com//scripts//Bachelor-Party.html,html
Back To The Future,https://assets.scriptslug.com/live/pdf/scripts/back-to-the-future-1985.pdf?v=1729114865,pdf
Backdraft,https://imsdb.com//scripts//Backdraft.html,html
Bad Boys,https://assets.scriptslug.com/live/pdf/scripts/bad-boys-1995.pdf?v=1729114865,pdf
Bad Boys For Life,https://assets.scriptslug.com/live/pdf/scripts/bad-boys-for-life-2020.pdf?v=1729114865,pdf
Bad Country,https://imsdb.com//scripts//Bad-Country.html,html
Bad Day At Black Rock,https://imsdb.com//scripts//Bad-Day-at-Black-Rock.html,html
Bad Dreams,https://imsdb.com//scripts//Bad-Dreams.html,html
Bad Lieutenant,https://assets.scriptslug.com/live/pdf/scripts/bad-lieutenant-1992.pdf?v=1729114865,pdf
Bad Moms,https://assets.scriptslug.com/live/pdf/scripts/bad-moms-2016.pdf?v=1729114865,pdf
Bad Moon,https://assets.scriptslug.com/live/pdf/scripts/bad-moon-1996.pdf?v=1729114865,pdf
Bad Santa,https://assets.scriptslug.com/live/pdf/scripts/bad-santa-2003.pdf?v=1729114865,pdf
Bad Teacher,https://assets.scriptslug.com/live/pdf/scripts/bad-teacher-2011.pdf?v=1729114866,pdf
Bad Times At The El Royale,https://assets.scriptslug.com/live/pdf/scripts/bad-times-at-the-el-royale-2018.pdf?v=1729114866,pdf
Badlands,https://assets.scriptslug.com/live/pdf/scripts/badlands-1973.pdf?v=1729114866,pdf
Bamboozled,https://imsdb.com//scripts//Bamboozled.html,html
Barb And Star Go To Vista Del Mar,https://assets.scriptslug.com/live/pdf/scripts/barb-and-star-go-to-vista-del-mar-2021.pdf?v=1729114866,pdf
Barbarian,https://assets.scriptslug.com/live/pdf/scripts/barbarian-2022.pdf?v=1729114866,pdf
Barbershop,https://assets.scriptslug.com/live/pdf/scripts/barbershop-2002.pdf?v=1729114866,pdf
Barbie,https://assets.scriptslug.com/live/pdf/scripts/barbie-2023.pdf?v=1729114866,pdf
Barry Lyndon,https://imsdb.com//scripts//Barry-Lyndon.html,html
Barton Fink,https://assets.scriptslug.com/live/pdf/scripts/barton-fink-1991.pdf?v=1729114867,pdf
Basic,https://imsdb.com//scripts//Basic.html,html
Basic Instinct,https://assets.scriptslug.com/live/pdf/scripts/basic-instinct-1992.pdf?v=1729114867,pdf
Basic Instinct 2,https://assets.scriptslug.com/live/pdf/scripts/basic-instinct-2-2006.pdf?v=1729114867,pdf
Basket Case,https://assets.scriptslug.com/live/pdf/scripts/basket-case-1982.pdf?v=1729114867,pdf
Basquiat,https://imsdb.com//scripts//Basquiat.html,html
Batman,https://assets.scriptslug.com/live/pdf/scripts/batman-1989.pdf?v=1729114867,pdf
Batman & Robin,https://assets.scriptslug.com/live/pdf/scripts/batman-and-robin-1997.pdf?v=1729114868,pdf
Batman 2,https://imsdb.com//scripts//Batman-2.html,html
Batman Begins,https://assets.scriptslug.com/live/pdf/scripts/batman-begins-2005.pdf?v=1729114868,pdf
Batman Forever,https://assets.scriptslug.com/live/pdf/scripts/batman-forever-1995.pdf?v=1729114868,pdf
Batman Mask Of The Phantasm,https://assets.scriptslug.com/live/pdf/scripts/batman-mask-of-the-phantasm-1993.pdf?v=1729114868,pdf
Batman Returns,https://assets.scriptslug.com/live/pdf/scripts/batman-returns-1992.pdf?v=1729114868,pdf
Battle Los Angeles,https://imsdb.com//scripts//Battle-Los-Angeles.html,html
Battle Of The Sexes,https://assets.scriptslug.com/live/pdf/scripts/battle-of-the-sexes-2017.pdf?v=1729114868,pdf
Battlefield Earth,https://assets.scriptslug.com/live/pdf/scripts/battlefield-earth-2000.pdf?v=1729114868,pdf
Baywatch,https://assets.scriptslug.com/live/pdf/scripts/baywatch-2017.pdf?v=1729114868,pdf
Bean,https://assets.scriptslug.com/live/pdf/scripts/bean-1997.pdf?v=1729114869,pdf
Beasts Of No Nation,https://imsdb.com//scripts//Beasts-of-No-Nation.html,html
Beasts Of The Southern Wild,https://imsdb.com//scripts//Beasts-of-the-Southern-Wild.html,html
Beau Is Afraid,https://assets.scriptslug.com/live/pdf/scripts/beau-is-afraid-2023.pdf?v=1729114869,pdf
Beautiful Boy,https://assets.scriptslug.com/live/pdf/scripts/beautiful-boy-2018.pdf?v=1729114869,pdf
Beauty And The Beast,https://assets.scriptslug.com/live/pdf/scripts/beauty-and-the-beast-2017.pdf?v=1729114869,pdf
Beavis And Butt Head Do America,https://imsdb.com//scripts//Beavis-and-Butt-head-Do-America.html,html
Beetlejuice,https://assets.scriptslug.com/live/pdf/scripts/beetlejuice-1988.pdf?v=1729114869,pdf
Before Midnight,https://assets.scriptslug.com/live/pdf/scripts/before-midnight-2013.pdf?v=1729114869,pdf
Beginners,https://assets.scriptslug.com/live/pdf/scripts/beginners-2010.pdf?v=1729114869,pdf
Being Human,https://imsdb.com//scripts//Being-Human.html,html
Being John Malkovich,https://assets.scriptslug.com/live/pdf/scripts/being-john-malkovich-1999.pdf?v=1729114869,pdf
Being The Ricardos,https://assets.scriptslug.com/live/pdf/scripts/being-the-ricardos-2021.pdf?v=1729114869,pdf
Being There,https://assets.scriptslug.com/live/pdf/scripts/being-there-1979.pdf?v=1729114869,pdf
Belfast,https://assets.scriptslug.com/live/pdf/scripts/belfast-2021.pdf?v=1729114870,pdf
Belle,https://assets.scriptslug.com/live/pdf/scripts/belle-2013.pdf?v=1729114870,pdf
Beloved,https://imsdb.com//scripts//Beloved.html,html
Beverly Hills Cop,https://assets.scriptslug.com/live/pdf/scripts/beverly-hills-cop-1984.pdf?v=1729114870,pdf
Big,https://assets.scriptslug.com/live/pdf/scripts/big-1988.pdf?v=1729114870,pdf
Big Eyes,https://imsdb.com//scripts//Big-Eyes.html,html
Big Fish,https://assets.scriptslug.com/live/pdf/scripts/big-fish-2003.pdf?v=1729114870,pdf
Big Time Adolescence,https://assets.scriptslug.com/live/pdf/scripts/big-time-adolescence-2020.pdf?v=1729114871,pdf
